sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
Atendimento sempre maravilhoso COMIDA FALA Chopp sempre gelado caneca geladerrima,0,1,1,0,0,0,0,1
Outra coisa ótima desde estacionamento local agradável,0,0,0,1,1,0,0,0
bom ambiente atendimento comida então delícia Super indico,1,0,1,0,0,0,0,1
ambiente divertido animado ideal trazer família amigos,1,0,0,0,0,0,0,0
Restaurante ótima localização amplo estacionamento grande variedades carnes diversos acompanhamentos melhores restaurante Kilo cidade Manaus esquecendo comentar ótimo preço confortável ambiente local proporciona,1,0,1,1,1,0,1,0
Durante almoço vira estabelecimento segunda categoria,0,0,0,1,0,0,0,0
Atendimento alimentação excelente,0,0,1,0,0,0,0,1
Comida deliciosa atendimento maravilhoso,0,0,1,0,0,0,0,1
Ótimo lugar ambiente aconchegante funcionários atenciosos tempestividade pedidos preços justos,1,0,1,1,0,0,1,1
restaurante fica andar superior prédio antigo elevador pessoas dificuldade locomoção ambiente rústico chique sanitários novos,1,0,0,0,1,0,0,0
lugarzinho açaí ótimo opção,0,0,1,1,0,0,0,0
muitas opções menu variados tipos carnes,0,0,1,0,0,0,0,0
Lugar agradável bom café manhã,0,0,1,0,0,0,0,0
Umas cervejas geladas Manaus,0,1,0,0,0,0,0,0
Ótimo ambiente atendimento música vivo bebida gelada comida deliciosa,1,1,1,0,0,0,0,1
Ótimo atendimento,0,0,0,0,0,0,0,1
Excelente atendimento muitas opções ótimo tempero,0,0,1,0,0,0,0,1
melhores hamburguerias Manaus,0,0,0,1,0,0,0,0
Ambiente super agradável atendimento primeira comida deliciosa preço justo,1,0,1,0,0,0,1,1
boa comida atendimento repertório bem tranquilo música ambiente Ricardo José deixou faltar nada tudo demora,1,0,1,0,0,0,0,1
Local conta area externa segurança pois todo gradeado tambem area interna refrigerada otimo atendimento proprio Adolpho passa mesas p saber bem servidos,1,0,0,0,0,0,0,1
Excelente lugar reunir amigos final tarde bons petiscos preço,0,0,1,1,0,0,1,0
Tudo rápido comida deliciosa preço justo,0,0,1,0,0,0,1,1
Phelipe atendimento show bola maravilhoso,0,0,0,0,0,0,0,1
lugar bem acolhedor ambiente Familiar porções generosas Excelente qualidade Camarão Delicioso bem fresquinho,1,0,1,1,0,0,0,0
restaurante próximo centro oferece ampla opção cardápio self service custo atrativo,0,0,1,0,0,0,1,0
melhores restaurantes Manaus atendimento vip grande opção refeição ótima carta vinhos localizado bairro nobre manaus fácil acesso excelente estrutura ótimo ambiente,1,1,1,1,1,0,0,1
Local simples super agradável atendimento excente,0,0,0,1,0,0,0,1
