sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
Pra quer comer boa costela bafo cerveja gelada aqui lugar,0,1,1,0,0,0,0,0
Atendimento impecável excelente música,1,0,0,0,0,0,0,0
Pizzas rodízio gostosas grande variação sabores,0,0,1,0,0,0,0,0
Maravilhoso restaurante desfrutar família amigos pratos variados cardápio amazonense,0,0,1,1,0,0,0,0
Ambiente confortável pratos saborosos eventualmente preparo pode demorar dias grande procura,1,0,1,0,0,0,0,1
problemas servir pizza rodízio mesa grande preparados muita gente tempo apesar possuírem salão razoavelmente grande,1,0,0,0,0,0,0,1
Atendimento excelente desde recepção conforto manobristas preço acessível benefício,0,0,0,0,0,0,1,1
Bem decorada fácil acesso bom atendimento oferece bastante variedades produtos,1,0,1,0,1,0,0,1
melhores vinhos melhor gastronomia Manaus,0,1,1,0,0,0,0,0
bom ambientes agradável cardápio maravilhoso,1,0,1,1,0,0,0,0
bar ótima opção pra quer fazer esquenta encerrar noite passar horas mesa,0,1,0,0,0,0,0,0
Procurar embalagem melhor pra manteiga garrafa fica mão pegajosa serve,0,0,1,0,0,0,0,0
esposo deficiente físico podemos ir segundo piso razão falta acessibilidade,0,0,0,1,0,0,0,0
Merece oportunidade deste excelente restaurante certeza elevará nível tendo profissional colaborador,0,0,0,1,0,0,0,0
Ponto negativo comercial nada,0,0,0,1,0,0,0,0
Parabéns Coco Bambu profissional exemplar próxima gostaríamos atendidos Novamente,0,0,0,0,0,0,0,1
Atendimento infinitamente melhor primeira vez oferta buffet interessante domingo preço justo incluindo entradas peixes acompanhamentos sobremesas,0,0,1,0,0,0,1,1
Comida boa,0,0,1,0,0,0,0,0
Experimentei dois pratos sendo frango grelhado esposa pediu estrogonofe carne ambos dois mal preparados temperados sabor ruim parece esquentado,0,0,1,0,0,0,0,0
época vez regado temáticas sazonais apresentações musicais aí pensa acabou vem som vivo excelente repertório musical,1,0,0,0,0,0,0,0
Ambiente agradável cardápio variado embora sempre alguns itens indisponíveis,1,0,1,0,0,0,0,0
Lugar tranquilo climatizado ótimo divertir amigos além somzinho interativo karaokê petiscos deliciosos banheiro disponível garçons elevadíssimos ambiente reservado conversa crush,1,0,1,1,0,0,0,1
Restaurante serve excelente carne sol acompanhamentos variados bom preço,0,0,1,0,0,0,1,0
Ótimo cardápio excelente custo benefício demora padrão infelizmente lamentável,0,0,1,0,0,0,1,1
Lugar top agradável vezes demora pra passar pizza suco tirando recomendo,0,0,0,1,0,0,0,1
mim sempre boa opção quero comida japonesa,0,0,1,0,0,0,0,0
Ambiente convidativo tanto amigos família,1,0,0,0,0,0,0,0
Ótimo atendimento parava comer kkkk,0,0,0,0,0,0,0,1
melhor Bar melhor Feijoada melhor café manhã Domingo,0,1,1,0,0,0,0,0
local agradável sempre vou família atendimento ótimo todos funcionários bem atenciosos sempre quero comer alguma coisa sei onde comer vou lá porque sempre aberto ótimas opções café manhã almoço janta lanche quiser comer provavelmente vai ter lá,0,0,0,1,0,0,0,1
Ambiente confortável atendimento primeira comida excelente,1,0,1,0,0,0,0,1
