sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
atendimento maravilhoso COMIDA FALA gelar caneca geladerrimo,0,1,1,0,0,0,0,1
ótimo estacionamento agradável,0,0,0,1,1,0,0,0
ambiente atendimento comida delícia Super indico,1,0,1,0,0,0,0,1
ambiente divertido animar ideal trazer família amigo,1,0,0,0,0,0,0,0
restaurante ótimo localização amplo estacionamento variedade carne diverso acompanhamento bom restaurante cidade esquecer comentar bom preço confortável ambiente proporcionar,1,0,1,1,1,0,1,0
almoço vira estabelecimento categoria,0,0,0,1,0,0,0,0
atendimento alimentação excelente,0,0,1,0,0,0,0,1
comida delicioso atendimento maravilhoso,0,0,1,0,0,0,0,1
Ótimo ambiente aconchegante funcionário atencioso tempestividade pedido preço justo,1,0,1,1,0,0,1,1
restaurante ficar andar superior prédio antigo elevador pessoa dificuldade locomoção ambiente rústico chique sanitário,1,0,0,0,1,0,0,0
lugarzinho açaí bom opção,0,0,1,1,0,0,0,0
haver opção menu variado tipo carne,0,0,1,0,0,0,0,0
agradável café manhã,0,0,1,0,0,0,0,0
cerveja gelada,0,1,0,0,0,0,0,0
Ótimo ambiente atendimento música vivo bebido gelar comida delicioso,1,1,1,0,0,0,0,1
Ótimo atendimento,0,0,0,0,0,0,0,1
excelente atendimento opção bom tempero,0,0,1,0,0,0,0,1
bom hamburgueria,0,0,0,1,0,0,0,0
ambiente super agradável atendimento comer delicioso preço justo,1,0,1,0,0,0,1,1
comida atendimento repertório tranquilo música ambiente deixar faltar demor,1,0,1,0,0,0,0,1
contar area externo segurança gradear areo interno refrigerar otimo atendimento proprio passar meso p estar servido,1,0,0,0,0,0,0,1
excelente reunir amigo bom petisco preço,0,0,1,1,0,0,1,0
rápido comer delicioso preço justo,0,0,1,0,0,0,1,1
atendimento show bola maravilhoso,0,0,0,0,0,0,0,1
acolhedor ambiente porção generosa excelente qualidade fresquinho,1,0,1,1,0,0,0,0
restaurante centro oferecer ampla opção cardápio self service custo atrativo,0,0,1,0,0,0,1,0
bom restaurante atendimento vip opção refeição ótimo carta vinho localizar bairro nobre manaus fácil acesso excelente estrutura bom ambiente,1,1,1,1,1,0,0,1
simples super agradável atendimento,0,0,0,1,0,0,0,1
preço alto,0,0,0,0,0,0,1,0
restaurante chique custo benefício incrível,0,0,0,1,0,0,1,0
carne delicioso ambiente playground maravilhoso criança brincar achar bom família,1,0,1,1,0,0,0,0
bar forte variedade drink,0,1,0,0,0,0,0,0
café delicioso,0,1,0,0,0,0,0,0
Ótimo,0,0,0,1,0,0,0,0
preço caro serviço ruim,0,0,0,0,0,0,1,1
sozinho noite jantar experiência estar acompanhar,0,0,0,1,0,0,0,0
primeiro cliente inauguração indiquei amigo,0,0,0,1,0,0,0,0
achar preço super acessível,0,0,0,0,0,0,1,0
churrascaria búfalo contar ambiente climatizar sofisticar atendimento garçom educar atencioso,1,0,0,0,0,0,0,1
comida saboroso,0,0,1,0,0,0,0,0
loja início ótimo espaçoso possuir estacionamento,1,0,0,0,1,0,0,0
excelente atendimento comida amazônico toque requintar,0,0,1,0,0,0,0,1
comida bom ambiente atendimento gostar espera mesa,1,0,1,0,0,0,0,1
café regional,0,1,0,0,0,0,0,0
casa possuir carta vinho,0,1,0,0,0,0,0,0
ambiente bom atendimento cardápio variado excelente qualidade,1,0,1,0,0,0,0,1
curtar vida noturno valer pena visitar,0,0,0,1,0,0,0,0
experiência maravilhoso comer atendimento rápido preço justo,0,0,1,1,0,0,1,1
estacionamento,0,0,0,0,1,0,0,0
ambiente amplo clean acústica garçon atento,1,0,0,0,0,0,0,1
desumano estrela atendimento único pessoa valer universo inteiro,0,0,0,0,0,0,0,1
Imita cafeteria internacional açaí cupuaçu saboroso bom preço atendimento bacano shoppings local turístico rua aeroporto adorar,0,0,1,0,0,0,1,0
irar experiência gastronômico adequado,0,0,1,0,0,0,0,0
comida gostoso cerpa geladissima,0,1,1,0,0,0,0,0
estacionamento pq comida,0,0,1,0,1,0,0,0
resumo excelente oportunidade experimentar culinária amazonense,0,0,1,0,0,0,0,0
ambiente climatizar vaga estacionar bom atendimento preço compatível produto,1,0,0,0,1,0,1,1
saboroso suculenta tipica gaúcha,0,0,1,0,0,0,0,0
custo benefício hamburguer artesanal atendimento massar,0,0,1,0,0,0,1,1
Gostei bom ambiente discreto seleto ótimo localização prefeito fugir muvuca gente educar,1,0,0,0,1,0,0,0
ambiente acolhedor comer regional manauarar toque chef,1,0,1,0,0,0,0,0
restaurante ficar andar casa antigo vista,0,0,0,0,1,0,0,0
Localizar centro gastronômico estacionamento comum privativo gratuito oferecer chopp petisco bom preço ótimo qualidade servir atendimento ambiente arejar comum rústico cobrir,1,1,1,0,1,0,1,1
excelente restaurante saborear riqueza água,0,0,1,1,0,0,0,0
comida gostoso ambiente agradável recomer,1,0,1,1,0,0,0,0
atendimento custo beneficio preço excelente ter vista bar top,1,0,0,0,0,0,1,1
variedade peixe local sabor inigualável atendimento ímpar,0,0,1,0,0,0,0,1
restaurante carne exótico delicioso,0,0,1,0,0,0,0,0
Ótimo atendimento preço super,0,0,0,1,0,0,1,1
Ótima comida regional qualidade atendimento opção prato bebida bom restaurante,0,1,1,1,0,0,0,1
atentimento funcionário divertido,0,0,0,0,0,0,0,1
