sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
comer costela bafo cerveja gelar,0,1,1,0,0,0,0,0
atendimento impecável excelente música,1,0,0,0,0,0,0,0
rodízio gostoso variação sabor,0,0,1,0,0,0,0,0
Maravilhoso restaurante desfrutar família amigo prato variar cardápio amazonense,0,0,1,1,0,0,0,0
ambiente confortável prato saboroso preparo demorar dia procura,1,0,1,0,0,0,0,1
problema servir pizza rodízio mesa preparado gente possuír salão,1,0,0,0,0,0,0,1
atendimento excelente recepção manobrista preço acessível benefício,0,0,0,0,0,0,1,1
decorar fácil acesso atendimento oferecer variedade produto,1,0,1,0,1,0,0,1
bom vinho bom gastronomia,0,1,1,0,0,0,0,0
ambiente agradável cardápio maravilhoso,1,0,1,1,0,0,0,0
bar ótimo opção esquentar encerrar noite passar hora mesa,0,1,0,0,0,0,0,0
procurar embalagem bom manteiga garrafa ficar mão pegajoso servir,0,0,1,0,0,0,0,0
esposo físico poder piso razão acessibilidade,0,0,0,1,0,0,0,0
Merece oportunidade excelente restaurante elevar ter profissional colaborador,0,0,0,1,0,0,0,0
negativo comercial,0,0,0,1,0,0,0,0
Parabéns profissional exemplar gostaríamos atender,0,0,0,0,0,0,0,1
atendimento bom oferta buffet interessante domingo preço justo incluir entrada peixe acompanhamento sobremeso,0,0,1,0,0,0,1,1
comida,0,0,1,0,0,0,0,0
Experimentei prato ser frango grelhar esposo pedir estrogonofe carne preparar temperar sabor ruim esquentar,0,0,1,0,0,0,0,0
época regar temática sazonal apresentação musical pensar acabar som vivo excelente repertório musical,1,0,0,0,0,0,0,0
ambiente agradável cardápio variar ter item indisponível,1,0,1,0,0,0,0,0
tranquilo climatizar bom divertir amigo somzinho interativo petisco delicioso banheiro disponível garçom elevadíssir ambiente reservar conversa,1,0,1,1,0,0,0,1
restaurante servir excelente carne sol acompanhamento variar preço,0,0,1,0,0,0,1,0
Ótimo cardápio excelente custo benefício demora padrão lamentável,0,0,1,0,0,0,1,1
top agradável passar pizza tirar recomer,0,0,0,1,0,0,0,1
opção comida japonês,0,0,1,0,0,0,0,0
ambiente convidativo amigo família,1,0,0,0,0,0,0,0
Ótimo atendimento parar comer,0,0,0,0,0,0,0,1
bom Bar bom bom café manhã domingo,0,1,1,0,0,0,0,0
agradável ir família atendimento bom funcionário atencioso comer comer ir aberto ótim opção café manhã almoço janta lanchar querer comer,0,0,0,1,0,0,0,1
ambiente confortável atendimento comida excelente,1,0,1,0,0,0,0,1
encontrar excelente gastronomia brasileiro regional prato elaborar criativo delicioso,0,0,1,0,0,0,0,0
valor preço justo poção satisfatoria vale super pena,0,0,1,1,0,0,1,0
ambiente peixe,1,0,1,0,0,0,0,0
preço justo,0,0,1,0,0,0,1,0
sugiro bom organização feriado data especial,0,0,0,0,0,0,0,1
restaurante dúvida bom restaurante,0,0,0,1,0,0,0,0
restaurante culinária,0,0,0,1,0,0,0,0
ambiente ornamentar peça interessante canoa parede,1,0,0,0,0,0,0,0
jantar,0,0,0,1,0,0,0,0
restaurante bonito localizar,1,0,0,0,1,0,0,0
comida gostoso atendimento agradável ambiente preço adequado limpo climatizar fácil acesso vaga p estacionamento,1,0,1,0,1,0,1,1
comer preço justo,0,0,1,0,0,0,1,0
atendimento ruim garçom desatento comando,0,0,0,0,0,0,0,1
bacano prato regional gostoso caro valer qualidade,0,0,1,1,0,0,1,0
incrível atendimento excelente preço ambiente,1,0,0,1,0,0,1,1
ingrediente local requinte elegância possuir atendimento excelente,0,0,1,0,0,0,0,1
mesmo embalagem pro micronr otimo ideia delicioso preço parabem frango mineiro,0,0,1,0,0,0,1,0
ambiente lindíssimo delicioso torta salgar,1,0,1,0,0,0,0,0
confortável bom levar família,1,0,0,1,0,0,0,0
