sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
café regional normal simples opção regional destaque,0,1,0,0,0,0,0,0
preço salgar,0,0,0,0,0,0,1,0
valer pena centavo atendimento carne bom,0,0,1,0,0,0,1,1
maravilhoso melhor,0,0,1,0,0,0,0,1
ambiente agradável temático dispoe cerveja fabricação próprio,1,1,0,0,0,0,0,0
péssimo atendimento,0,0,0,0,0,0,0,1
conversar excelente opção cardápio,0,0,1,1,0,0,0,0
comida certo super gostoso vir buscar informação atendimento super indico,0,0,1,0,0,0,0,1
Ótimo musica vivo meso calçada rua servir bolinho bacalhau divino acompanhar cerveja chopp gelar,1,1,1,1,0,0,0,0
happy hour restaurante opção bebida vinho petisco gostoso,0,1,1,1,0,0,0,0
agradável comer mto fazer,0,0,1,1,0,0,0,0
bom restaurante perder padrão coco bambu,0,0,0,1,0,0,0,0
agradável lanche amiga comida qualidade bom atendimento,0,0,1,1,0,0,0,1
atendimento pizza delicioso gostar rodízio,0,0,1,0,0,0,0,1
custo benefício alto,0,0,0,0,0,0,1,0
petisco excelente mega geladaaa,0,1,1,0,0,0,0,0
ambiente agradável espetacular excelente atendimento comida maravilhoso tradicional restaurante comida típica,1,0,1,1,0,0,0,1
ambiente legal musica Rock levar hambúrguer saboroso,1,0,1,0,0,0,0,0
Cerveja gelar coámir maravilhoso banana fritar comentário,0,1,1,0,0,0,0,0
Localizar esquina ambiente térreo andar alto climatização auxílio ventilador,1,0,0,0,0,0,0,0
atendente super atencioso bom bebida coca,0,0,0,0,0,0,1,1
super agradável atendimento porção gostoso,0,0,0,1,0,0,0,1
parabéns atendimento excelente garçom ambiente agradável prato camarão mravilhoso recomendar pedir torto trufada,0,0,1,0,0,0,0,1
excelente agradável reunir tomar café comer bom pão cidade,0,0,1,1,0,0,0,0
Ótimo,0,0,0,1,0,0,0,0
preço justo,0,0,0,0,0,0,1,0
ótimo opção,0,0,0,1,0,0,0,0
Ótimo atendimento maravilhoso,0,0,0,1,0,0,0,1
ameeiii cheio lembrança intelectual,0,0,0,0,0,1,0,0
qualidade ruim,0,0,1,0,0,0,0,0
ambiente familiar descontrair ideal levar família restaurante contar suculento bufe garçom super educar estacionamento amplo localizar comodidade pagamento ambiente espaçoso,1,0,1,0,1,0,0,1
ambiente rústico vista teatro,1,0,0,0,0,0,0,0
custo benefício ótimo preço justo,0,0,0,0,0,0,1,0
prato principal arroz camarão pirarucu defumar tomate,0,0,1,0,0,0,0,0
super aconchegante ótimo localização serviço manobrista variar rodíziar carne variar,1,0,1,0,1,0,0,0
tradição churrasco,0,0,1,0,0,0,0,0
Chegando deparei estacionamento amplo ambiente regional caboclo mesa cadeira madeira super decorar imagem animal silvestr cardápio variar limpo ventilado valer pena família amigo,1,0,1,0,1,0,0,0
bom pizzaria,0,0,0,1,0,0,0,0
atendimento garçom ótimo comida,0,0,1,0,0,0,0,1
restaurante comida ótimo arejar bebida gelar,0,1,1,0,0,0,0,0
comida preço prato variar bom atendimento,0,0,1,0,0,0,1,1
Ótimo buscar experiência delícia culinária italiano,0,0,1,0,0,0,0,0
forte,0,0,0,0,0,0,0,1
ambiente agradável pé direito alto situar andar prédio,1,0,0,0,0,0,0,0
bar tradicional centro passo teatro preço acessível bebida original bar tradicional poco paso precio accesibler bebida,0,0,0,1,0,0,1,0
ambiente agradável comer delicioso atendimento excelente,1,0,1,0,0,0,0,1
ambiente climatizar bom peixe preço justo,1,0,1,0,0,0,1,0
opção,0,0,0,1,0,0,0,0
boM opção comida português sofisticar preço salgar impecável atendimento sabor experiência,0,0,1,0,0,0,1,0
pedida cordeiro,0,0,1,0,0,0,0,0
musica ambiente gente descontrair bacano,1,0,0,0,0,0,0,0
Ótimo atendimento,0,0,0,0,0,0,0,1
comida agradável atendimento brinquedoteca valer pena,0,0,1,1,0,0,0,1
banana frito delicioso,0,0,1,0,0,0,0,0
agradável culinária regional saboroso requintar,0,0,1,1,0,0,0,0
atender bom servir peixe,0,0,0,0,0,0,0,1
ambiente ótimo jantar delicioso atendimento super agradável garçom conjunto Voltarei esperar atendir,1,0,0,0,0,0,0,1
sensacional ambiente calmo tranquilo,1,0,0,1,0,0,0,0
Ótimo ambiente total respeito norma segurança conta pandemia comer qualidade preço justo,1,0,1,0,0,0,1,0
restaurante confortável decoração gosto ar condicionado perfeito música vivo discretar bom serviçoe maitr garçom,1,0,0,1,0,0,0,1
Poderia preço acessível simples ter opção tapioco pequeno individual,0,0,1,0,0,0,1,0
,0,0,1,0,0,0,0,0
ter pedir pedido refeição cachorro quente envolto carne porco,0,0,1,0,0,0,0,0
excelente opção,0,0,0,1,0,0,0,0
Ótimo bar encontrar cerveja gelar bom pagoder,1,1,0,1,0,0,0,0
ribeirinho amazônico banzeiro agitação água fazer vento,0,0,0,0,0,1,0,0
ambiente familiar,1,0,0,0,0,0,0,0
desfrutar sabor heresia,0,0,0,1,0,0,0,0
tambaqui pirão farofa banana,0,0,1,0,0,0,0,0
café regional excelente opção refeição diversificar comido típica tapioco sabor bolo diversos valer pena conferir bolo aimpim cobertura calda cupuaçu,0,0,1,0,0,0,0,0
