sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
restaurante verde referencia respeito cultura gastronomico nordestino fraco demor servir,0,0,1,0,0,0,0,1
ambiente agradável contar atendimento perfeito fazer,1,0,0,0,0,0,0,1
Horrível voltar conhecer amigo convidar garçom dizer ir consumir pagar cover falar desnecessário trabalho público tratar retirar poder crítica bom tratar igual cachorro indico piso,0,0,0,0,0,0,0,1
Ótimo atendimento coisa delicioso,0,0,1,0,0,0,0,1
incômodo comida convém opção,0,0,1,1,0,0,0,0
apreciador churrasco excelente opção,0,0,1,1,0,0,0,0
variedade refeição diferencial preço justo ambiente perfeito reunir amigo,1,0,1,0,0,0,1,0
Ótimo restaurante,0,0,0,1,0,0,0,0
excelente atendimento parabéns coco bambu,0,0,0,1,0,0,0,1
ambiente coisa caro,1,0,0,0,0,0,1,0
acolhedor estacionamento atendimento excelente comer,0,0,1,0,1,0,0,1
variedade servir alimento frio frustração,0,0,1,0,0,0,0,0
Ótimo atendimento ótimo comida falar,0,0,1,1,0,0,0,1
happy ótimo pedida excelente drink,0,1,0,1,0,0,0,0
restaurante regional,0,0,0,1,0,0,0,0
restaurante comida típica maravilhoso,0,0,1,0,0,0,0,0
situação namorar ouvir música levar criança divertir segurança comodidade encontrar amigo papo agradável comer beber,0,0,0,1,0,0,0,0
boM carne sol,0,0,1,0,0,0,0,0
pizza rodízio sabor sensacional fatia deixar desejar pizzaria fatia pizza minúscula preço caro,0,0,1,0,0,0,1,0
experiência incrível,0,0,0,1,0,0,0,0
estacionamento,0,0,0,0,1,0,0,0
honesto bom custo benefício,0,0,0,0,0,0,1,0
servir excelente café especial sul cardápio variado opção bebida clássico cafeterio,0,1,1,0,0,0,0,0
chopp vinho delicioso,0,1,0,0,0,0,0,0
preço compatível oferecer,0,0,0,0,0,0,1,0
refeição excelente saboroso cardápio variado atendimento impecável estacionamento amplo,0,0,1,0,1,0,0,1
thi one singular life,0,0,0,0,0,1,0,0
Ótimo restaurante agradável almoço família atendimento ótimo comer estacionamento precisar melhorar,0,0,1,1,1,0,0,0
agradável excelente refeição preço justo,0,0,1,1,0,0,1,0
música cerveja gelar petisco delicioso,1,1,1,0,0,0,0,0
agradável,0,0,0,1,0,0,0,0
ambiente agradável comer delicioso atendimento,1,0,1,0,0,0,0,1
Melhor restaurante,0,0,0,1,0,0,0,0
farofa banana,0,0,1,0,0,0,0,0
atendimento impecável ambiente bonito banheiro limpíssimo ótimo música carta vinho extensa prato Deuses,1,1,1,1,0,0,0,1
único problema estacionamento,0,0,0,0,1,0,0,0
comida saboroso atendimento custo benefício,0,0,1,0,0,0,1,1
preço acessível trabalhar polo industrial,0,0,0,0,0,0,1,0
super indico pessoa,0,0,0,1,0,0,0,0
pedir delicioso surpreendente caipirinha,0,1,0,0,0,0,0,0
programação musical,1,0,0,0,0,0,0,0
agradável estacionamento acessível espera razoável preço padrão atendimento eficácia prato atrativo espaço infantil banheiro higienizar,1,0,1,1,1,0,1,1
comida excelente experiência,0,0,1,1,0,0,0,0
experiência horrível,0,0,0,1,0,0,0,0
apertar preço elevar pagar,1,0,0,1,0,0,1,0
Ótimo música atendimento,1,0,0,0,0,0,0,1
SUPER,0,0,0,1,0,0,0,0
Ótimo ambiente atendimento preço poder atrativo,1,0,0,0,0,0,1,1
cozinha agitação nome jovem chef fama utilizar elemento inusitar cozinha regional fincar pé capital paulista filial,0,0,0,0,0,0,0,1
Vale pena conferir pirarucu shitake arroz negro purê mandioquinha,0,0,1,0,0,0,0,0
ambiente preço justo atendimento rápido estacionamento gratuito,1,0,1,0,1,0,1,1
excelente,0,0,0,1,0,0,0,0
atendimento lanche gostoso preço caro,0,0,1,0,0,0,1,1
Ótimo gostoso,0,0,1,1,0,0,0,0
sobremesa gâteau considerável,0,0,1,0,0,0,1,0
carta vinho bebida diverso peixe saboroso sobremeso divina,0,1,1,0,0,0,0,0
espaço excelente amplo recepção pérola atendimento mesa,1,0,0,0,0,0,0,1
café preferer atendimento ótimo preço razoável qualidade,0,1,0,0,0,0,1,1
excelente atendimento comida maravilhoso,0,0,1,1,0,0,0,1
Buffet limitar agradável instagramavel carne gostoso,0,0,1,1,0,0,0,0
Garçons atencioso amplo estacionamento,0,0,0,0,1,0,0,1
comida típico alto estilo,0,0,1,0,0,0,0,0
prestar dia amanhecer duro,0,0,1,0,0,0,0,0
super atendir comida maravilhoso custo benefício bom,0,0,1,0,0,0,1,1
escolher comemorar data especial,0,0,0,0,0,1,0,0
experiência lamentável exagero pedir atendir atendente ver passar minuto pé aguardar sentar conseguir sentar passar minuto atender,0,0,0,1,0,0,0,1
ambiente familiar frequentadora ano,1,0,0,0,0,0,0,0
ambiente confortável comer simpático,1,0,1,0,0,0,0,0
ambiente agradável comida maravilhoso,1,0,1,0,0,0,0,0
opção momento informal família amigo,0,0,0,1,0,0,0,0
comida gostoso limpeza externo preço justo pender atendimento regular,1,0,1,0,0,0,1,1
pizza mau comi massa pizza braaanca gosto pessoal super atencioso comida malar voltar desejar custo valer rodízio pessoa refrigerante real refrigerante suco malo compra supermercado sacola pequeno congelado comida malar malo,0,0,1,0,0,0,0,1
comida delicioso bom atendimento Restaurante detentor nota único individualidade fenomenal ser gastronomia terra mar,0,0,1,0,0,0,0,1
ambiente agradável localizar fácil acesso comer recomer,1,0,1,0,1,0,0,0
hambúrguer tambaqui pão açaí gostoso poder caprichado pão queijo,0,0,1,0,0,0,0,0
Ótimo excelente agradável comida nota,0,0,1,1,0,0,0,0
qualidade excepcional rodízio preço justo ambiente sair,1,0,1,0,0,0,1,0
amo café tapioca castanha maravilhosa fã café ótimo visitar tipo bolo glúten,0,1,1,0,0,0,0,0
Partindo recomendação trip advisor escolher comida regional,0,0,0,1,0,0,0,0
café bom café alimento serviço cidade,0,1,1,0,0,0,0,0
Cerveja gelar tir gosto ótimo ambiente atendimento realizar,1,1,1,0,0,0,0,1
prato delicioso autêntico preço normal,0,0,1,0,0,0,1,0
Melhor café regional cidade,0,1,0,0,0,0,0,0
Ótimo excelente atendimento,1,0,0,0,0,0,0,1
experiência fantástico atendimento comida,0,0,1,0,0,0,0,1
escondidinho carne seca maravilhoso variedade comida nordestino self service contar delicioso petit gateau servir delicioso,0,0,1,0,0,0,0,0
bom comida veem quentinha saborosa atendimento maravilhoso,1,0,1,0,0,0,0,1
ambiente diferente parede enorme cachaça diferente,1,0,0,0,0,0,0,0
maravilhoso excelente atendimento comida excelência delicioso recomendar boteco,0,0,1,1,0,0,0,1
tranquilo música excelente atendimento menu maravilhoso,1,0,1,0,0,0,0,1
agradável fácil acesso amei,1,0,0,0,1,0,0,0
pizza tradicional existir manau,0,0,1,0,0,0,0,0
localização,0,0,0,0,1,0,0,0
carne sol bolinho macaxeira excelente,0,0,1,0,0,0,0,0
maravilhoso,0,0,0,1,0,0,0,0
maravilhoso,0,0,0,1,0,0,0,0
churrascaria achar salar carne,0,0,1,0,0,0,0,0
agradável gente bonito ótimos prato,1,0,1,1,0,0,0,0
música excelente,1,0,0,0,0,0,0,0
culinária excelente comparar cardápio combinação restaurante capaz proporcionar,0,0,1,0,0,0,0,0
festa empresarial,0,0,0,1,0,0,0,0
preço acessível delicioso,0,0,1,0,0,0,1,0
Considerar bom carne sol Norte nordeste,0,0,1,0,0,0,0,0
bom espaço ambiente climatizar bom família perfeito recepção,1,0,0,0,0,0,0,1
atendimento demorar ignorar mesa vario comida bom acreditar haver bom opção preço barato,0,0,1,0,0,0,1,1
cozinha agitação nome jovem chef fama utilizar elemento inusitar cozinha regional fincar pé capital paulista filial,0,0,0,0,0,0,0,1
dedicação profissional especial mãe deixar cair aparelho auditivo ser minúsculo difícil identificação profissional limpeza cuidado delicadeza guardar,0,0,0,0,0,0,0,1
