sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
agora com nova opção no cardápio pizza,0,0,0,0,0,1,0,0
vale a pena apesar do preço ser um pouco salgado,0,0,0,0,0,0,1,0
ótimo atendimento ma a qualidade da pizza no rodízio e da batatas fritas passam longe,0,0,1,0,0,0,0,1
atendimento impecável como sempre,0,0,0,0,0,0,0,1
bem organizado atendimento muito bom e estacionamento pra pessoas com necessidades especiais,1,0,0,0,1,0,0,1
com certeza a melhor opção gastronômica de manaus,0,0,1,0,0,0,0,0
fomos almoçar no coco bambú e pedimos camarão a boa viagem constante no prato executivo quantidade boa perfeito para dia pessoas preço muito bom para quem é admirador de camarão,0,0,1,0,0,0,1,0
excelente comida atendimento da ketherin muito bom educada e prestativa,0,0,1,0,0,0,0,1
restaurante top estacionamento grande o ambiente é climatizado o atendimento é excelente recomendo caldeirada de tambaqui é muito gostoso e bem servido,1,0,1,1,1,0,0,1
é também um ambiente acolhedor com excelente atenção à mesa,1,0,0,0,0,0,0,1
gente bonita cerveja gelada a melhor cena musical de manaus em um do bares mais tradicionais da cidade,1,1,0,1,0,0,0,0
só falta uma brinquedoteca para atender melhor famílias com crianças,1,0,0,0,0,0,0,0
carne de sol deliciosa bom atendimento ótimo preço e bem localizado,0,0,1,0,1,0,1,1
fiquei muito impressionada com o atendimento comida excelente e ambiente agradável,1,0,1,0,0,0,0,1
o meu preferido é o bowl tirashi salmão muito bem servido e é uma delícia,0,0,1,0,0,0,0,0
boa comida bom preço,0,0,1,0,0,0,1,0
ótimo restaurante tranquilo confortável e atendimento e a comida é de excelência,1,0,1,1,0,0,0,1
viva a comida mexicana,0,0,1,0,0,0,0,0
ótima opção para um descanso no fim de semana possui um delicioso restaurante flutuante com locação de pranchas para praticar sup,1,0,0,1,0,0,0,0
preço justo pelo que se propõe poi o prato ficou na faixa de 130 00 reais incluindo 10 mais água,0,0,0,0,0,0,1,0
lugar bom espaço bacana,1,0,0,1,0,0,0,0
