sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
o restaurante coqueiro verde é uma referencia no que diz respeito a cultura gastronomica nordestina o ponto fraco é a demora para servir,0,0,1,0,0,0,0,1
ambiente agradável sem contar que o atendimento foi perfeito feito pela srta,1,0,0,0,0,0,0,1
horrível não volto ma lá não conhecia um amigo me convidou e foi a primeira vez garçom disse grosseiramente que eu iria só consumir se eu pagasse o cover ma a forma que ele falou foi tão desnecessário que eu que trabalho com o público a muito tempo trataria alguém assim então me retirei e fui embora eu poderia ter uma crítica melhor pra fazer ma vc ser tratado igual um cachorro não indico a ninguém e nunca ma piso lá,0,0,0,0,0,0,0,1
ótimo atendimento coisas deliciosas,0,0,1,0,0,0,0,1
porém se isso não lhe for incômodo e a parte da comida que convém pode ir que é uma boa opção,0,0,1,1,0,0,0,0
para o apreciadores de um bom churrasco esta é uma excelente opção,0,0,1,1,0,0,0,0
a variedade de refeições é outro diferencial e o preço justo torná o ambiente perfeito para reunir se com o amigo,1,0,1,0,0,0,1,0
ótimo restaurante,0,0,0,1,0,0,0,0
excelente atendimento parabéns coco bambu,0,0,0,1,0,0,0,1
bom o ambiente mais a coisas caras,1,0,0,0,0,0,1,0
lugar acolhedor com estacionamento atendimento excelente e comida muito boa,0,0,1,0,1,0,0,1
tem grande variedade ma às vezes nem sempre serve alimentos frios e isso é uma grande frustração,0,0,1,0,0,0,0,0
ótimo lugar atendimento ótimo e a comida nem se fala,0,0,1,1,0,0,0,1
o happy hour é uma ótima pedida com excelentes drink,0,1,0,1,0,0,0,0
restaurante regional de manaus,0,0,0,1,0,0,0,0
restaurante de comidas típicas maravilhosas,0,0,1,0,0,0,0,0
lugar para toda a situações ir namorar e ouvir boa música a doi ou para levar a crianças para se divertir com segurança e comodidade ou para encontrar o amigo e ter um papo agradável para comer e beber bem,0,0,0,1,0,0,0,0
melhor carne de sol de manaus,0,0,1,0,0,0,0,0
