sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
atendimento é sempre maravilhoso comida nem se fala chopp sempre gelado e com a caneca geladerrima,0,1,1,0,0,0,0,1
outra coisa ótima desde ao estacionamento um local agradável,0,0,0,1,1,0,0,0
muito bom o ambiente o atendimento e a comida então uma delícia super indico,1,0,1,0,0,0,0,1
um ambiente muito divertido e animado ideal para trazer família e amigo,1,0,0,0,0,0,0,0
restaurante com ótima localização amplo estacionamento e grande variedades de carnes com diversos acompanhamentos um do melhores restaurante por kilo da cidade de manaus não esquecendo de comentar o ótimo preço e o confortável ambiente que o local lhe proporciona,1,0,1,1,1,0,1,0
durante o almoço vira um estabelecimento de segunda categoria,0,0,0,1,0,0,0,0
atendimento e alimentação excelente,0,0,1,0,0,0,0,1
comida deliciosa e atendimento maravilhoso,0,0,1,0,0,0,0,1
ótimo lugar ambiente aconchegante com funcionários atenciosos tempestividade do pedidos e preços justos,1,0,1,1,0,0,1,1
o restaurante fica no andar superior de um prédio antigo ma com elevador para pessoas com dificuldade de locomoção e ambiente rústico ma chique sanitários novos,1,0,0,0,1,0,0,0
meu lugarzinho do açaí ótimo opção,0,0,1,1,0,0,0,0
há muitas opções no menu deles o mais variados tipos de carnes,0,0,1,0,0,0,0,0
lugar agradável para um bom café da manhã,0,0,1,0,0,0,0,0
uma da cervejas mais geladas de manaus,0,1,0,0,0,0,0,0
ótimo ambiente e atendimento música ao vivo bebida gelada e comida deliciosa,1,1,1,0,0,0,0,1
ótimo atendimento,0,0,0,0,0,0,0,1
excelente atendimento muitas opções ótimo tempero,0,0,1,0,0,0,0,1
uma da melhores hamburguerias de manaus,0,0,0,1,0,0,0,0
ambiente super agradável atendimento de primeira comida deliciosa e preço muito justo,1,0,1,0,0,0,1,1
muito boa a comida e o atendimento repertório bem tranquilo com música ambiente ricardo josé não deixou faltar nada e tudo sem demora,1,0,1,0,0,0,0,1
local conta com area externa mais com segurança poi é todo gradeado e tambem area interna refrigerada otimo atendimento e o proprio adolpho passa na mesa p saber se estamos bem servidos,1,0,0,0,0,0,0,1
excelente lugar para reunir com amigo no final da tarde bons petiscos e preço,0,0,1,1,0,0,1,0
tudo rápido comida deliciosa e preço justo,0,0,1,0,0,0,1,1
phelipe atendimento show de bola maravilhoso,0,0,0,0,0,0,0,1
um lugar bem acolhedor ambiente familiar a porções são generosas de excelente qualidade camarão delicioso bem fresquinho,1,0,1,1,0,0,0,0
este restaurante próximo ao centro oferece uma ampla opção de cardápio para self service a um custo muito atrativo,0,0,1,0,0,0,1,0
um do melhores restaurantes de manaus atendimento vip com uma grande opção de refeição e uma ótima carta de vinhos localizado em um bairro nobre de manaus de fácil acesso excelente estrutura e ótimo ambiente,1,1,1,1,1,0,0,1
local simple super agradável e com um atendimento excente,0,0,0,1,0,0,0,1
porém com preços alto,0,0,0,0,0,0,1,0
restaurante muito bom e muito chique o custo benefício é incrível,0,0,0,1,0,0,1,0
carne deliciosa ambiente muito bom e tem um playground maravilhoso para a crianças brincarem acho que é o melhor de manaus para famílias,1,0,1,1,0,0,0,0
o bar é bom tem como ponto forte a grande variedade de drink,0,1,0,0,0,0,0,0
que café delicioso,0,1,0,0,0,0,0,0
ótimo lugar,0,0,0,1,0,0,0,0
preço caro para um serviço ruim,0,0,0,0,0,0,1,1
estive sozinho no barollo na noite de 14 05 para jantar e tive uma experiência muito boa mesmo não estando acompanhado,0,0,0,1,0,0,0,0
fui um do primeiros clientes do caxiri após inauguração e indiquei para dezenas de amigo,0,0,0,1,0,0,0,0
achei o preço super acessível,0,0,0,0,0,0,1,0
a churrascaria búfalo conta com um ambiente climatizado e sofisticado o atendimento é muito bom o garçons sempre educados e atenciosos,1,0,0,0,0,0,0,1
comida saborosa,0,0,1,0,0,0,0,0
a nova loja do adrianópolis no início da rua paraíba é ótima espaçosa e possui bom estacionamento,1,0,0,0,1,0,0,0
excelente atendimento e comida amazônica com toque requintado,0,0,1,0,0,0,0,1
comida boa ótimo ambiente bom atendimento só não gostei da espera por uma mesa,1,0,1,0,0,0,0,1
café regional,0,1,0,0,0,0,0,0
a casa possui boa carta de vinhos,0,1,0,0,0,0,0,0
ambiente aconchegante ótimo atendimento cardápio variado e excelente qualidade,1,0,1,0,0,0,0,1
pra quem curte vida noturna vale a pena visitar,0,0,0,1,0,0,0,0
foi uma experiência maravilhosa comida boa atendimento rápido e preço justo,0,0,1,1,0,0,1,1
tem um estacionamento próprio,0,0,0,0,1,0,0,0
o ambiente é amplo clean boa acústica garçons atentos,1,0,0,0,0,0,0,1
é desumano dar 5 estrelas para um atendimento único e uma pessoa que vale pelo universo inteiro,0,0,0,0,0,0,0,1
imita grandes cafeteria internacionais porém com açaí e cupuaçu muito saboroso com ótimo preço e atendimento bacana têm em shopping locais turísticos na rua aeroporto simplesmente adoramos,0,0,1,0,0,0,1,0
em vez disso irei ao hell s kitchen para uma experiência gastronômica adequada,0,0,1,0,0,0,0,0
comida gostosa e cerpa geladissima,0,1,1,0,0,0,0,0
falta só ter um estacionamento maior pq a comida e boa,0,0,1,0,1,0,0,0
em resumo uma excelente oportunidade para experimentar a culinária amazonense,0,0,1,0,0,0,0,0
ambiente climatizado com vagas para estacionar ótimo atendimento preço compatível com o produto,1,0,0,0,1,0,1,1
carnes saborosas e suculentas tipicas da culinária gaúcha,0,0,1,0,0,0,0,0
excelente custo x benefício hamburguer artesanal e atendimento massa,0,0,1,0,0,0,1,1
gostei muito de tudo ótimo ambiente discreto seleto e aconchegante ótima localização prefeito para quem foge de muvuca e gente mal educada,1,0,0,0,1,0,0,0
ambiente acolhedor comida regional manauara com toque de chef,1,0,1,0,0,0,0,0
o restaurante fica no andar de cima de uma casa antiga com vista para o teatro,0,0,0,0,1,0,0,0
localizado em um centro gastronômico com estacionamento comum privativo gratuito esse local oferece chopp e petiscos a bons preços e ótima qualidade servidos por meio de um bom atendimento em um ambiente bem arejado área comum rústico e coberto,1,1,1,0,1,0,1,1
excelente restaurante para saborear a riquezas da águas da amazônia,0,0,1,1,0,0,0,0
comida sempre muito gostosa ambiente agradável recomendo 100,1,0,1,1,0,0,0,0
atendimento bom custo beneficio entre local e o preços e excelente tendo em vista que o bar é muito top,1,0,0,0,0,0,1,1
grande variedade de peixes locais com sabor inigualável atendimento ímpar,0,0,1,0,0,0,0,1
restaurante de primeira com carnes exóticas ma muito deliciosas,0,0,1,0,0,0,0,0
ótimo lugar bom atendimento preço super bom,0,0,0,1,0,0,1,1
ótima comida regional de qualidade bom atendimento várias opções de pratos e bebidas ótimo restaurante,0,1,1,1,0,0,0,1
atentimento top funcionários bem divertidos,0,0,0,0,0,0,0,1
e um bom local,0,0,0,1,0,0,0,0
ótimo ambiente refrigerado estacionamento bom atendimento chamada do garçom através de sinal eletrônico na mesa tv em ambo o lados decoração com capas do disco do roberto carlos e ótimas sobremesas,1,0,1,0,1,0,0,1
ótimo restaurante,0,0,0,1,0,0,0,0
não tem estacionamento próprio difícil de estacionar,0,0,0,0,1,0,0,0
restaurante muito bom,0,0,0,1,0,0,0,0
ótimo atendimento com uma culinária regional de dar água na boca,0,0,1,0,0,0,0,1
vale a pena almoçar ou parar para um lanche no lo de maria ambiente pequeno super charmoso bem decorado,1,0,0,1,0,0,0,0
péssima experiência,0,0,0,1,0,0,0,0
atendimento diferenciado e ambiente impecável,1,0,0,0,0,0,0,1
o garcom joab leite fez um atendimento fantástico,0,0,0,0,0,0,0,1
lugar maravilhoso e comida também,0,0,1,1,0,0,0,0
restaurante muito sostificado atendimento excelente recomendo este restaurante à todos,0,0,0,1,0,0,0,1
local agradável açaí de boa qualidade,0,0,1,0,0,0,0,1
foi deliciosa saborosa família gosta do ambiente agradável confortável e atendimentos maravilhosos parabéns voltarei sempre obrigada,1,0,1,1,0,0,0,1
melhor churasco de manaus,0,0,1,0,0,0,0,0
não é a toa que ferran adria e alex atala vão frequentemente à amazônia em busca de novos ingredientes e sabores,0,0,1,0,0,0,0,0
ótimo lugar para happy hour,0,0,0,1,0,0,0,0
esportes ao ar livre e possibilidade para banho de rio,1,0,0,0,0,0,0,0
lugar muito bonito aconchegante comida gostosa bebidas geladas e um excelente lugar para reunir família amigo e happy hour para negócios,1,1,1,1,0,0,0,0
caros amigo turistas não percam a oportunidade de tomar o melhor café regional de manaus muitas variedades de especiarias regionais o famoso pão com tucumã a tapioca bem quentinha com castanha queijo banana frita sucos regionais cupuaçu tapereba goiaba muito bom mesmo não deixem de visitar,0,1,1,1,0,0,0,0
para o ribeirinhos amazônicos banzeiro é a agitação da águas feita pelos ventos,0,0,0,0,0,1,0,0
lugar aconchegante e comidinhas maravilhosas,1,0,1,0,0,0,0,0
o ambiente é um casarão antigo do ciclo da borracha com a vista pro poético teatro amazona,1,0,0,0,0,0,0,0
preço muito bom principalmente pela qualidade e sabores apresentados,0,0,1,0,0,0,1,0
restaurante aconchegante e a carne em um nível inigualável proprietários muito atenciosos e cordiais,1,0,1,0,0,0,0,1
ambiente agradabilíssimo tanto a decoração como a atmosfera,1,0,0,0,0,0,0,0
é um local excelente com bebidas variadas e petiscos deliciosos,0,1,1,0,0,0,0,0
local agradável pra reuni amigo com comida bebida e muita música boa,1,1,1,1,0,0,0,0
mesa dispostas na calçada e rua petiscos bem servidos e boa variedade cerveja trincando de gelada,1,1,1,0,0,0,0,0
público jovem de alto astral,1,0,0,0,0,0,0,0
comida deliciosa atendimento de qualidade,0,0,1,0,0,0,0,1
