sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
café regional normal simple com toda a opções regionais ma sem muito destaque,0,1,0,0,0,0,0,0
preço um pouco salgado,0,0,0,0,0,0,1,0
valeu a pena cada centavo atendimento muito bom e carnes boa,0,0,1,0,0,0,1,1
rodízio maravilhoso belém melhor atendente,0,0,1,0,0,0,0,1
ambiente agradável todo temático e eles dispoe de cervejas de fabricação própria,1,1,0,0,0,0,0,0
péssimo atendimento,0,0,0,0,0,0,0,1
lugar muito bom para conversar e excelentes opções de cardápio,0,0,1,1,0,0,0,0
comida ao ponto certo e super gostoso para quem veio buscar informação sobre o local e atendimento super indico,0,0,1,0,0,0,0,1
ótimo barzinho com musica ao vivo mesa na calçada e na rua servem um bolinho de bacalhau divino acompanhado sempre de uma cerveja ou chopp gelado,1,1,1,1,0,0,0,0
no geral é um bom happy hour e restaurante tem muitas opções de bebidas e vinhos e o petiscos são gostosos,0,1,1,1,0,0,0,0
lugar agradável comida mto bem feita,0,0,1,1,0,0,0,0
um ótimo restaurante não perde o padrão do coco bambu de fortaleza,0,0,0,1,0,0,0,0
lugar agradável para um lanche da tarde com a amigas comida de qualidade e ótimo atendimento,0,0,1,1,0,0,0,1
muito bom atendimento e pizza deliciosas gostei muito do rodízio,0,0,1,0,0,0,0,1
custo benefício alto,0,0,0,0,0,0,1,0
petiscos excelentes e cerveja mega geladaaa,0,1,1,0,0,0,0,0
ambiente agradável espetacular excelente atendimento comida maravilhosa tradicional restaurante com comidas típicas,1,0,1,1,0,0,0,1
ambiente muito legal com musica boa rock leve e o hambúrguer também estava saboroso,1,0,1,0,0,0,0,0
cerveja muito gelada coámida maravilhosa a banana frita sem comentário nossa tudo de bom,0,1,1,0,0,0,0,0
localizado em uma esquina com doi ambientes térreo e andar superior sem climatização apenas com auxílio de ventiladores,1,0,0,0,0,0,0,0
o atendentes são super atenciosos e tem o melhor valor de bebidas de manaus já que uma coca de 1 l custa 3 00,0,0,0,0,0,0,1,1
local super agradável atendimento muito bom porções muito gostosas,0,0,0,1,0,0,0,1
estão de parabéns além de um atendimento excelente pelo garçom filipe farias e ambiente agradável o pratos com camarão são mravilhosos e recomendo pedirem a torta trufada,0,0,1,0,0,0,0,1
excelente e agradável local para reunir tomar um café e comer o melhor pão da cidade,0,0,1,1,0,0,0,0
ótimo lugar,0,0,0,1,0,0,0,0
preço justo,0,0,0,0,0,0,1,0
mais uma ótima opção em manaus,0,0,0,1,0,0,0,0
ótimo lugar atendimento maravilhoso,0,0,0,1,0,0,0,1
ameeiii lugar cheio de lembranças do grandes intelectuais desse estado,0,0,0,0,0,1,0,0
pão de qualidade ruim,0,0,1,0,0,0,0,0
ambiente familiar descontraído ideal para levar a família restaurante conta com um suculento bufe o garçons são super educados estacionamento amplo bem localizado comodidade na forma de pagamento e ambiente espaçoso,1,0,1,0,1,0,0,1
ambiente rústico com vista para o teatro amazona,1,0,0,0,0,0,0,0
custo benefício ótimo preço justo,0,0,0,0,0,0,1,0
de prato principal foi arroz com camarão pirarucu defumado e tomate,0,0,1,0,0,0,0,0
lugar super aconchegante em ótima localização serviço de manobrista buffet variado e rodízio com carnes varia,1,0,1,0,1,0,0,0
mantém um boa tradição do churrasco,0,0,1,0,0,0,0,0
chegando já deparei com um estacionamento amplo o ambiente é bastante regional caboclo com mesa e cadeiras de madeira super decorado com imagens de animais silvestres o cardápio e bastante variado local limpo e bastante ventilado vale a pena ir com a família e amigo,1,0,1,0,1,0,0,0
uma da melhores pizzaria de manaus,0,0,0,1,0,0,0,0
muito bom atendimento do garçom fernando e ótima comida,0,0,1,0,0,0,0,1
o restaurante a comida ótima arejado bebidas gelada,0,1,1,0,0,0,0,0
excelente comida bom preço pratos variados e ótimo atendimento,0,0,1,0,0,0,1,1
ótimo lugar para quem busca a experiência e delícias da culinária italiana,0,0,1,0,0,0,0,0
receptividade é um do pontos mais fortes daqui,0,0,0,0,0,0,0,1
ambiente agradável pé direito alto situa se no segundo andar do prédio,1,0,0,0,0,0,0,0
tradução do google bar tradicional no centro de manaus a poucos passos do teatro preço acessível de bebidas original bar tradicional en el centro de manaus a pocos pasos del teatro precio accesible de la bebidas,0,0,0,1,0,0,1,0
ambiente agradável comida deliciosa e atendimento excelente,1,0,1,0,0,0,0,1
área kid ambiente climatizado e o melhor peixe da cidade por um preço justo,1,0,1,0,0,0,1,0
uma boa opção,0,0,0,1,0,0,0,0
melhor opção de comida portuguesa sofisticada com preço extremamente salgado porém tudo impecável atendimento sabor e experiência,0,0,1,0,0,0,1,0
uma boa pedida é o cordeiro muito bom,0,0,1,0,0,0,0,0
musica boa ambiente bom gente descontraída bacana,1,0,0,0,0,0,0,0
ótimo atendimento,0,0,0,0,0,0,0,1
comida boa lugar agradável bom atendimento brinquedoteca vale a pena ir,0,0,1,1,0,0,0,1
além da banana frita deliciosa,0,0,1,0,0,0,0,0
local agradável com uma culinária regional saborosa e requintada,0,0,1,1,0,0,0,0
no atendeu sa melhor forma me serviu um peixe que eu mais,0,0,0,0,0,0,0,1
ambiente ótimo jantar delicioso e atendimento super agradável pelo garçom bruno em conjunto com o ricardo voltarei e espero ser atendida por eles novamente,1,0,0,0,0,0,0,1
é um local sensacional ambiente calmo e tranquilo,1,0,0,1,0,0,0,0
ótimo ambiente total respeito a norma de segurança por conta da pandemia comida de boa qualidade com um preço justo,1,0,1,0,0,0,1,0
restaurante confortável amplo decoração de bom gosto ar condicionado perfeito música ao vivo discreta muito bons serviçoes de maitres e garçons,1,0,0,1,0,0,0,1
poderia ter um preços mais acessíveis e isso seria de forma simple tendo como opção tapioca menores ou individuais,0,0,1,0,0,0,1,0
grande variedade,0,0,1,0,0,0,0,0
se eu tivesse que pedir um último pedido de refeição seria o cachorro quente envolto em carne de porco,0,0,1,0,0,0,0,0
excelente opção,0,0,0,1,0,0,0,0
ótimo bar onde se encontra um boa cerveja gelada e ótimo pagode,1,1,0,1,0,0,0,0
para o ribeirinhos amazônicos banzeiro é a agitação da águas feita pelos ventos,0,0,0,0,0,1,0,0
muito bom ambiente familiar,1,0,0,0,0,0,0,0
estar em manaus e não desfrutar do sabores do alentejo é quase uma heresia,0,0,0,1,0,0,0,0
delicioso tambaqui com pirão e farofa com banana,0,0,1,0,0,0,0,0
o café regional priscila é uma excelente opção para quem quer uma refeição diversificada poi lá você muitas comidas típicas tapioca de vários sabores bolo diversos vale a pena conferir o bolo de aimpim com cobertura de calda de cupuaçu,0,0,1,0,0,0,0,0
excelente restaurante ótimo preço e ambiente bacana,1,0,0,1,0,0,0,1
loval familiar e muito agradável,0,0,0,1,0,0,0,0
é uma restaurante que possui doi ambientes um mais tradicional puxando pra cozinha portuguesa e outro mais moderno,1,0,0,0,0,0,0,0
o chop caseiro é bom ma o atendimento deixa a desejar,0,1,0,0,0,0,0,1
cerveja geladissima bom atendimento ótimos preços e cardápio variado ambiente climatizado,1,1,1,0,0,0,1,1
comida muito boa atendimento bom e rápido,0,0,1,0,0,0,0,1
presencialmente nunca passei por uma experiência ruim lá,0,0,0,1,0,0,0,0
há ano com a melhor carne de sol de manaus,0,0,1,0,0,0,0,0
pizza boa preço bom playground para a crianças,1,0,1,0,0,0,1,0
preços acessíveis,0,0,0,0,0,0,1,0
cardápio com preços muito honesto vale conferir o brigadeiro de peixe não esquecer de curtir um sup,1,0,1,0,0,0,1,0
ótimo atendimento comida gostosa ambiente aconchegante,1,0,1,0,0,0,0,1
tem um ótimo atendimento e uma comida excelente ambiente agradável um bom lugar para comemorar algo especial,1,0,1,0,0,0,0,1
lugar agradável para um bom papo e cerveja gelada,0,1,0,1,0,0,0,0
ambiente adequado,1,0,0,0,0,0,0,0
foi boa só precisam trocar o monitores que ainda são tv s de tubo forum isso tudo bom atendimento excelente bom preço e bem climatizado,1,0,0,0,0,0,1,1
muito boa surpresa em serviço comida regional muito boa lugar extremamente agradável e muito bom serviço com o pessoal muito prestativo e atenciosos muito bom vale a pena ir,1,0,1,1,0,0,0,1
preço justo,0,0,0,0,0,0,1,0
boa qualidade da comida e bom atendimento porém o preços são alto,0,0,1,0,0,0,1,1
o restaurante ainda não adicionou grande parte do itens populares do amazona no cardápio preferindo manter o que toda a franquias possuem,0,0,0,0,0,1,0,0
lugar aconchegante,1,0,0,0,0,0,0,0
