sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
restaurante Coqueiro verde referencia diz respeito cultura gastronomica nordestina ponto fraco demora servir,0,0,1,0,0,0,0,1
Ambiente agradável contar atendimento perfeito feito srta,1,0,0,0,0,0,0,1
Horrível volto lá conhecia amigo convidou primeira vez garçom disse grosseiramente iria consumir pagasse cover forma falou tão desnecessário trabalho público tempo trataria alguém assim então retirei embora poderia ter crítica melhor pra fazer vc tratado igual cachorro indico ninguém nunca piso lá,0,0,0,0,0,0,0,1
Ótimo atendimento coisas deliciosas,0,0,1,0,0,0,0,1
Porém incômodo parte comida convém pode ir boa opção,0,0,1,1,0,0,0,0
apreciadores bom churrasco excelente opção,0,0,1,1,0,0,0,0
variedade refeições outro diferencial preço justo torná ambiente perfeito reunir amigos,1,0,1,0,0,0,1,0
Ótimo restaurante,0,0,0,1,0,0,0,0
Excelente atendimento parabéns coco bambu,0,0,0,1,0,0,0,1
Bom ambiente coisas caras,1,0,0,0,0,0,1,0
Lugar acolhedor estacionamento atendimento excelente comida boa,0,0,1,0,1,0,0,1
grande variedade vezes sempre serve alimentos frios grande frustração,0,0,1,0,0,0,0,0
Ótimo lugar atendimento ótimo comida fala,0,0,1,1,0,0,0,1
happy hour ótima pedida excelentes drinks,0,1,0,1,0,0,0,0
Restaurante regional Manaus,0,0,0,1,0,0,0,0
Restaurante comidas típicas maravilhosas,0,0,1,0,0,0,0,0
Lugar todas situações ir namorar ouvir boa música dois levar crianças divertir segurança comodidade encontrar amigos ter papo agradável comer beber bem,0,0,0,1,0,0,0,0
Melhor carne sol Manaus,0,0,1,0,0,0,0,0
pizzas rodízio sabores sensacionais fatias deixam desejar pois relação outras pizzarias fatias pizzas minúsculas apesar preço bem caro,0,0,1,0,0,0,1,0
sempre experiência incrível,0,0,0,1,0,0,0,0
estacionamento próprio,0,0,0,0,1,0,0,0
Valor honesto ótimo custo benefício,0,0,0,0,0,0,1,0
Cafeteria serve excelentes cafés especiais sul Minas cardápio bom variado farta opções bebidas clássicas cafeteria,0,1,1,0,0,0,0,0
chopp vinho delicioso,0,1,0,0,0,0,0,0
Preço compatível oferecido,0,0,0,0,0,0,1,0
Refeição excelente saborosa cardápio variado atendimento impecável estacionamento amplo,0,0,1,0,1,0,0,1
Thank u Franco s giving this one singular joy in life,0,0,0,0,0,1,0,0
Ótimo restaurante lugar agradável almoço família atendimento ótima comida estacionamento precisa melhorar,0,0,1,1,1,0,0,0
Local agradável excelente refeição preço justo,0,0,1,1,0,0,1,0
Boa música cerveja gelada petiscos deliciosos,1,1,1,0,0,0,0,0
Lugar agradável,0,0,0,1,0,0,0,0
Ambiente agradável comida deliciosa bom atendimento,1,0,1,0,0,0,0,1
Melhor restaurante Manaus,0,0,0,1,0,0,0,0
Banda Tambaqui farofa banana excelente,0,0,1,0,0,0,0,0
Excelente atendimento impecável ambiente bonito banheiro limpíssimo ótima música carta vinhos extensa pratos então Deuses,1,1,1,1,0,0,0,1
único problema estacionamento,0,0,0,0,1,0,0,0
Comida saborosa bom atendimento bom custo benefício,0,0,1,0,0,0,1,1
Preço acessível trabalham polo industrial,0,0,0,0,0,0,1,0
Super indico pessoas vindo Manaus primeira vez,0,0,0,1,0,0,0,0
Pedimos deliciosa surpreendente caipirinha Jambu,0,1,0,0,0,0,0,0
Boa programação musical,1,0,0,0,0,0,0,0
Lugar agradável estacionamento acessível tempo espera razoável preço padrão atendimento eficácia pratos atrativos espaço infantil banheiros higienizados,1,0,1,1,1,0,1,1
Comida boa excelente experiência,0,0,1,1,0,0,0,0
Experiência horrível,0,0,0,1,0,0,0,0
Lugar bom porém apertado preço pouco elevado paga lugar,1,0,0,1,0,0,1,0
Ótimo lugar músicas Boa bom atendimento,1,0,0,0,0,0,0,1
SUPER INDICO,0,0,0,1,0,0,0,0
Ótimo ambiente bom atendimento porém preços poderiam atrativos,1,0,0,0,0,0,1,1
cozinha agitação nome Felipe Schaedler jovem chef fez fama utilizar elementos inusitados cozinha regional recentemente fincou pé capital paulista filial,0,0,0,0,0,0,0,1
Vale pena conferir pirarucu shitake arroz negro purê mandioquinha,0,0,1,0,0,0,0,0
Comida boa ambiente bom preço justo atendimento rápido estacionamento gratuito,1,0,1,0,1,0,1,1
Lugar excelente,0,0,0,1,0,0,0,0
Bom atendimento lanches gostosos preço pouco caro,0,0,1,0,0,0,1,1
Ótimo tudo gostoso,0,0,1,1,0,0,0,0
sobremesa Petit gâteau boa valor considerável,0,0,1,0,0,0,1,0
Bela carta vinhos bebidas diversas peixes saborosos sobremesas divinas,0,1,1,0,0,0,0,0
Espaço excelente amplo boa recepção Eliandra pérola Andreza Geiza atendimento mesa Senna,1,0,0,0,0,0,0,1
café preferido atendimento ótimo preço razoável tudo qualidade,0,1,0,0,0,0,1,1
lugar excelente bom atendimento comida maravilhosa,0,0,1,1,0,0,0,1
Buffet limitado local agradável nada instagramavel carne gostosa,0,0,1,1,0,0,0,0
Garçons atenciosos amplo estacionamento,0,0,0,0,1,0,0,1
Comida típica Amazônia alto estilo,0,0,1,0,0,0,0,0
Pão presta dia amanhecer duro,0,0,1,0,0,0,0,0
super bem atendidas Rafael comida sempre maravilhosa custo benefício melhores Manaus Recomendadíssimo,0,0,1,0,0,0,1,1
lugar escolhemos pra comemorar data especial,0,0,0,0,0,1,0,0
Experiência lamentável exagero pedi atendido umas 3 vezes atendentes vinham passei aproximadamente 15 minutos pé aguardando sentar conseguir sentar passamos uns 25 minutos atendidos,0,0,0,1,0,0,0,1
Sabor ambiente familiar frequentadora muitos anos,1,0,0,0,0,0,0,0
Ambiente confortável comida boa todos simpáticos,1,0,1,0,0,0,0,0
Ambiente agradável comida maravilhosa,1,0,1,0,0,0,0,0
Boa opção momentos informais família amigos,0,0,0,1,0,0,0,0
Comida gostosa limpeza externa boa preço justo pendendo pro barato atendimento regular,1,0,1,0,0,0,1,1
pizza pior comi Manaus massa pizza braaanca gosto pessoal super atencioso comida mala volto deseja saber custo vale 35 rodízio pessoa refrigerante parte 5 reais cada refrigerante suco malo desses vc compra supermercado sacola pequena congelada lugar bom comida mala todo malo,0,0,1,0,0,0,0,1
Comida deliciosa ótimo atendimento Edson Jr Restaurante detentor notas únicas individualidade fenomenal gastronomia terra quanto mar,0,0,1,0,0,0,0,1
Ambiente agradável bem localizado fácil acesso comida boa recomendo,1,0,1,0,1,0,0,0
hambúrguer d tambaqui pão d açaí gostoso embora pudesse caprichado pão maior queijo,0,0,1,0,0,0,0,0
Ótimo excelente lugar agradável Boa comida nota 10,0,0,1,1,0,0,0,0
Qualidade excepcional rodízio preço justo ambiente bom sair grupo,1,0,1,0,0,0,1,0
Ual amo café tapioca castanha lá maravilhosa fãs café ótimo local visitado diversos tipos bolos pouco glúten,0,1,1,0,0,0,0,0
Partindo recomendação trip advisor escolhemos número Manaus comida regional,0,0,0,1,0,0,0,0
Excelente local café fim tarde melhor café alimentos serviço cidade,0,1,1,0,0,0,0,0
Cerveja gelada tira gostos bom ótimo ambiente atendimento bem realizado,1,1,1,0,0,0,0,1
Pratos deliciosos autênticos preços normais,0,0,1,0,0,0,1,0
Melhor café regional cidade,0,1,0,0,0,0,0,0
Ótimo local excelente atendimento,1,0,0,0,0,0,0,1
Hamburguela experiências fantásticas relação tanto atendimento quanto comida,0,0,1,0,0,0,0,1
Comi escondidinho carne seca maravilhoso além variedade comida nordestina self service contar delicioso petit gateau servem simplesmente delicioso,0,0,1,0,0,0,0,0
ótimo local comidas veem quentinhas saborosas atendimento maravilhoso,1,0,1,0,0,0,0,1
Ambiente diferente parede enorme várias cachaças diferentes,1,0,0,0,0,0,0,0
Lugar maravilhoso excelente atendimento comida excelência deliciosa recomendamos Dedé boteco,0,0,1,1,0,0,0,1
Refinado tranquilo boa música excelente atendimento menu maravilhoso,1,0,1,0,0,0,0,1
Aconchegante agradável fácil acesso amei lá,1,0,0,0,1,0,0,0
Melhor pizza tradicional existe manaus,0,0,1,0,0,0,0,0
Boa localização,0,0,0,0,1,0,0,0
carne sol boa uns bolinhos macaxeira excelente,0,0,1,0,0,0,0,0
local maravilhoso,0,0,0,1,0,0,0,0
Lugar maravilhoso,0,0,0,1,0,0,0,0
Primeira churrascaria achei salada melhor carne,0,0,1,0,0,0,0,0
Lugar agradável gente bonita ótimos pratos,1,0,1,1,0,0,0,0
Música excelente,1,0,0,0,0,0,0,0
